Wavelength,Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5
776.898,1.82697,-0.53959,4.10205,-7.07894,-4.83254
778.09,-5.54102,-2.72755,2.48822,-7.15655,4.55982
779.282,0.53323,1.10242,5.8665,1.64348,-0.98731
780.474,0.53579,0.55385,4.21046,1.65137,0
781.666,-0.80479,10.26039,8.7136,2.97656,-6.29164
782.858,6.7297,2.22611,9.58981,1.65934,5.98105
784.05,2.44607,7.86659,0.56955,5.36115,5.3678
785.243,3.00899,4.52428,2.86618,0.33724,1.01298
786.435,2.18755,5.65327,10.02793,6.06808,-7.08821
787.627,-2.49083,2.8609,1.44993,3.75323,6.14927
788.82,3.03125,7.97606,-0.86621,6.45495,1.36062
790.012,6.84474,7.64156,1.1475,2.36279,9.80087
791.204,7.183,2.28467,3.1842,-0.3406,7.8435
792.397,3.55058,-0.84699,3.14793,9.76485,-6.06846
793.59,7.46913,3.43154,1.44928,-0.6821,2.39031
794.782,8.33288,0,5.23868,10.27321,-2.74292
795.975,5.244,7.41796,4.33787,5.78455,12.60552
797.168,4.50329,0.87284,0.29491,0.69399,-2.08455
798.36,6.13371,8.93437,-0.58426,1.03118,8.25965
799.553,7.29732,-6.9631,-0.88224,-0.34602,-7.62188
800.746,-0.77669,3.21151,-2.44143,-7.42096,0.95873
801.939,-5.04848,-0.80288,0.4069,4.30894,4.07461
803.132,2.91258,2.00719,1.22071,-2.87263,0
804.325,3.30093,-3.41223,1.42417,1.43631,-0.95873
805.518,-0.19417,4.81726,-2.84833,0.23939,1.91746
806.711,4.66014,3.21151,-0.61036,3.3514,3.59524
807.904,-2.33007,1.80647,-2.44143,-2.87263,1.4381
809.097,2.1359,0,-0.20345,-0.95754,-2.15715
810.291,1.16503,3.61295,2.03452,1.19693,-0.23968
811.484,-2.52424,4.01438,0.20345,-0.71816,-4.55398
812.677,1.55338,-2.40863,0.20345,-2.63324,4.55398
813.871,4.07762,0.40144,2.44143,1.6757,-2.63651
815.064,-2.71841,2.40863,-1.83107,-0.95754,-3.35556
816.258,-1.55338,3.21151,-4.06905,1.6757,-0.47937
817.451,1.16503,1.60575,-0.61036,-4.30894,-3.11588
818.645,-0.97086,3.21151,-1.22071,5.50587,-4.31429
819.838,-0.19417,-0.20072,-1.62762,-0.47877,1.19841
821.032,-1.55338,0,2.84833,3.59079,0
822.225,3.88345,-2.60935,0.20345,-8.13912,0
823.419,-0.77669,-1.80647,-3.45869,0.95754,-1.4381
824.613,-1.94172,-1.60575,0,2.63324,-0.95873
825.807,0.97086,-0.60216,-3.25524,-2.15447,-2.63651
827,-1.55338,2.40863,2.44143,-0.47877,2.87619
828.194,-3.88345,4.61654,0.4069,-2.87263,-1.91746
